,Median Age,Median Household Income,Population,Locale,Violent Crime Total,Property Crime Total,Violent Rate,Property Rate,Walk Score,Population Density
0,38.5,101883.0,67958.0,"Albemarle County, Virginia",97,1604,0.0014273521881161895,0.0236028135024574,5.32,144.96253365
1,35.8,146422.0,87319.0,"Alexandria city, Virginia",280,2983,0.0032066331497154115,0.034162095305718114,52.63,10005.381352
2,33.8,220173.0,105120.0,"Arlington County, Virginia",314,3521,0.002987062404870624,0.03349505327245053,62.66,8730.0321969
3,36.6,228168.0,70176.0,"Chesapeake city, Virginia",999,6429,0.01423563611491108,0.0916125170998632,3.63,684.80398294
4,38.0,324337.0,72514.0,"Chesterfield County, Virginia",422,6373,0.005819565876934109,0.08788647709407839,7.99,785.35671293
5,37.4,1117072.0,112102.0,"Fairfax County, Virginia",969,14603,0.008643913578705108,0.1302652941071524,54.83,2910.0829665
6,35.5,136904.0,49879.0,"Hampton city, Virginia",349,4441,0.006996932576835943,0.08903546582730207,30.14,2660.8750615
7,37.8,314878.0,61438.0,"Henrico County, Virginia",502,7818,0.008170838894495264,0.1272502360102868,16.43,1377.5257694
8,35.1,338916.0,123966.0,"Loudoun County, Virginia",221,2607,0.0017827468822096382,0.02102995982769469,3.38,703.91842373
9,32.7,181362.0,51000.0,"Newport News city, Virginia",782,5552,0.015333333333333332,0.10886274509803921,27.55,2657.2635102
10,29.9,244745.0,44150.0,"Norfolk city, Virginia",1285,9696,0.029105322763306907,0.21961494903737258,37.4,4537.7937607
11,33.7,428772.0,98514.0,"Prince William County, Virginia",773,5901,0.007846600483180055,0.05990011571959315,26.04,1326.0586892
12,32.6,211063.0,41331.0,"Richmond city, Virginia",1264,8426,0.030582371585492728,0.20386634729379885,33.35,3641.5946156
13,36.6,126200.0,78505.0,"Spotsylvania County, Virginia",213,1975,0.002713202980701866,0.02515763327176613,0.91,321.76795476
14,34.7,134672.0,98721.0,"Stafford County, Virginia",243,2111,0.0024614823593764245,0.021383494899768034,5.42,520.60162709
15,34.9,445623.0,67001.0,"Virginia Beach city, Virginia",667,9865,0.009955075297383622,0.1472366084088297,7.32,1805.9870014
