,Area,lat,lon,walk score,transit score
0,Fairfax County Police Department,38.85084276,-77.31194033,62.0,40.0
1,Fairfax County Police Department,38.85795693,-77.31686365,79.0,39.0
2,Fairfax County Police Department,38.84556831,-77.3011118,75.0,39.0
3,Fairfax County Police Department,38.86247325,-77.31446475,46.0,39.0
4,Fairfax County Police Department,38.86148859,-77.28663839,52.0,40.0
5,Fairfax County Police Department,38.84602797,-77.28838167,61.0,36.0
6,Fairfax County Police Department,38.85085028,-77.29400017,52.0,37.0
7,Fairfax County Police Department,38.85270172,-77.29781189,66.0,38.0
8,Fairfax County Police Department,38.85818568,-77.31441207,75.0,39.0
9,Fairfax County Police Department,38.83916112,-77.30850317,74.0,39.0
10,Fairfax County Police Department,38.84960789,-77.30432854,81.0,40.0
11,Fairfax County Police Department,38.86269906,-77.30654722,59.0,39.0
12,Fairfax County Police Department,38.84117945,-77.31655818,48.0,38.0
13,Fairfax County Police Department,38.85705354,-77.28660057,41.0,39.0
14,Fairfax County Police Department,38.85189139,-77.31111305,62.0,40.0
15,Fairfax County Police Department,38.86489304,-77.28670091,46.0,41.0
16,Fairfax County Police Department,38.86031348,-77.31887028,43.0,38.0
17,Fairfax County Police Department,38.86076575,-77.31810897,46.0,39.0
18,Fairfax County Police Department,38.86178803,-77.29919807,51.0,39.0
19,Fairfax County Police Department,38.85084791,-77.30408023,61.0,40.0
20,Fairfax County Police Department,38.86214916,-77.28945015,51.0,39.0
21,Fairfax County Police Department,38.84176797,-77.30663987,83.0,39.0
22,Fairfax County Police Department,38.8457512,-77.28443035,52.0,35.0
23,Fairfax County Police Department,38.86610156,-77.28752231,28.0,41.0
24,Fairfax County Police Department,38.86586221,-77.28913565,31.0,41.0
25,Fairfax County Police Department,38.86717958,-77.30808381,35.0,
26,Fairfax County Police Department,38.86377637,-77.28845009999999,54.0,39.0
27,Fairfax County Police Department,38.86527544,-77.29201729,35.0,40.0
28,Fairfax County Police Department,38.86869679,-77.30498791,27.0,
29,Fairfax County Police Department,38.84958854,-77.31068579,75.0,40.0
30,Fairfax County Police Department,38.85696663,-77.29787096,55.0,38.0
31,Fairfax County Police Department,38.84250033,-77.30382818,79.0,39.0
32,Fairfax County Police Department,38.8477437,-77.3036005,88.0,40.0
33,Fairfax County Police Department,38.86630954,-77.29748455,30.0,40.0
34,Fairfax County Police Department,38.85657253,-77.29430845,46.0,38.0
35,Fairfax County Police Department,38.84466277,-77.28703631,60.0,35.0
36,Fairfax County Police Department,38.84788568,-77.32114995,79.0,37.0
37,Fairfax County Police Department,38.85086205,-77.28432522,25.0,35.0
38,Fairfax County Police Department,38.84968876,-77.29206473,49.0,37.0
39,Fairfax County Police Department,38.84101775,-77.29899631,62.0,38.0
40,Fairfax County Police Department,38.84158126,-77.31685369,36.0,38.0
41,Fairfax County Police Department,38.851632099999996,-77.29165029,51.0,36.0
42,Fairfax County Police Department,38.8590435,-77.28046106,48.0,40.0
43,Fairfax County Police Department,38.84469551,-77.30666342,86.0,40.0
44,Fairfax County Police Department,38.85860437,-77.27990937,48.0,40.0
45,Fairfax County Police Department,38.84143311,-77.30971712,79.0,39.0
46,Fairfax County Police Department,38.84354083,-77.28880157,65.0,35.0
47,Fairfax County Police Department,38.86230197,-77.30101115,53.0,39.0
48,Fairfax County Police Department,38.84869389,-77.28228735,32.0,36.0
49,Fairfax County Police Department,38.86077817,-77.2860381,44.0,40.0
50,Fairfax County Police Department,38.83734994,-77.31107362,68.0,39.0
51,Fairfax County Police Department,38.84065228,-77.31397298,57.0,39.0
52,Fairfax County Police Department,38.8447391,-77.29993342,78.0,39.0
53,Fairfax County Police Department,38.86372182,-77.29179265,46.0,39.0
54,Fairfax County Police Department,38.84409796,-77.30468581,85.0,39.0
55,Fairfax County Police Department,38.85738117,-77.28676966,42.0,38.0
56,Fairfax County Police Department,38.85727601,-77.27923182,41.0,40.0
57,Fairfax County Police Department,38.84420853,-77.28240945,56.0,34.0
58,Fairfax County Police Department,38.84047844,-77.30396359999999,72.0,39.0
59,Fairfax County Police Department,38.85758103,-77.31253254,77.0,39.0
60,Fairfax County Police Department,38.85365770000001,-77.30144712,46.0,39.0
61,Fairfax County Police Department,38.86111872,-77.28549859,44.0,40.0
62,Fairfax County Police Department,38.8363935,-77.30188807,59.0,38.0
63,Fairfax County Police Department,38.85988645,-77.31144086,52.0,40.0
64,Fairfax County Police Department,38.8430294,-77.29804187,67.0,38.0
65,Fairfax County Police Department,38.85380167,-77.31862325,87.0,38.0
66,Fairfax County Police Department,38.83789811,-77.29079543,24.0,32.0
67,Fairfax County Police Department,38.85733891,-77.30087597,40.0,39.0
68,Fairfax County Police Department,38.85050996,-77.29533056,58.0,38.0
69,Fairfax County Police Department,38.8572299,-77.28775325,42.0,38.0
70,Fairfax County Police Department,38.85542129,-77.30136489,51.0,38.0
71,Fairfax County Police Department,38.85881436,-77.3133678,67.0,40.0
72,Fairfax County Police Department,38.86476388,-77.28528179999999,46.0,41.0
73,Fairfax County Police Department,38.86330462,-77.29774859999999,34.0,39.0
74,Fairfax County Police Department,38.85618938,-77.29980773,46.0,38.0
75,Fairfax County Police Department,38.84077739,-77.30098325,62.0,38.0
76,Fairfax County Police Department,38.85394817,-77.28480231,25.0,36.0
77,Fairfax County Police Department,38.86730056,-77.29745369,25.0,39.0
78,Fairfax County Police Department,38.862853,-77.29080084,49.0,39.0
79,Fairfax County Police Department,38.85499648,-77.28483002,25.0,36.0
80,Fairfax County Police Department,38.83629731,-77.29359551,31.0,
81,Fairfax County Police Department,38.86579368,-77.3101538,30.0,
82,Fairfax County Police Department,38.84562173,-77.30889079,87.0,
83,Fairfax County Police Department,38.848830799999995,-77.29571511,61.0,38.0
84,Fairfax County Police Department,38.85532819,-77.29366802,33.0,38.0
85,Fairfax County Police Department,38.85809725,-77.31370739,77.0,39.0
86,Fairfax County Police Department,38.855051399999994,-77.31902531,87.0,38.0
87,Fairfax County Police Department,38.84699675,-77.29391020000001,55.0,38.0
88,Fairfax County Police Department,38.85539495,-77.30245267,44.0,38.0
89,Fairfax County Police Department,38.84910176,-77.2840136,36.0,36.0
90,Fairfax County Police Department,38.84036584,-77.29477015,63.0,36.0
91,Fairfax County Police Department,38.83573549,-77.30459809,57.0,
92,Fairfax County Police Department,38.86213917,-77.30079201,53.0,39.0
93,Fairfax County Police Department,38.85920374,-77.31245106,67.0,40.0
94,Fairfax County Police Department,38.85975264,-77.29129382,35.0,39.0
95,Fairfax County Police Department,38.83567602,-77.30343087,57.0,
96,Fairfax County Police Department,38.85507325,-77.3159429,85.0,39.0
97,Fairfax County Police Department,38.85304041,-77.30178734,70.0,39.0
98,Fairfax County Police Department,38.84743287,-77.27851568,34.0,35.0
99,Fairfax County Police Department,38.84315077,-77.30813632,84.0,40.0
100,Hampton Police Dept,37.04259967,-76.35194518,63.0,30.0
101,Hampton Police Dept,37.03366762,-76.37133879999999,9.0,35.0
102,Hampton Police Dept,37.04328176,-76.33797722,24.0,25.0
103,Hampton Police Dept,37.02376113,-76.36217451,62.0,38.0
104,Hampton Police Dept,37.03292798,-76.3499467,31.0,46.0
105,Hampton Police Dept,37.02266448,-76.37847992,22.0,29.0
106,Hampton Police Dept,37.04954384,-76.37819820000001,43.0,28.0
107,Hampton Police Dept,37.05126553,-76.33045841,18.0,22.0
108,Hampton Police Dept,37.04425139999999,-76.35689706,55.0,30.0
109,Hampton Police Dept,37.04481884,-76.37023718,33.0,29.0
110,Hampton Police Dept,37.05327173,-76.34761221,49.0,22.0
111,Hampton Police Dept,37.06791499,-76.36432145,31.0,19.0
112,Hampton Police Dept,37.03971919,-76.36591719,12.0,32.0
113,Hampton Police Dept,37.0624471,-76.37634728,23.0,22.0
114,Hampton Police Dept,37.05414314,-76.39916382,43.0,30.0
115,Hampton Police Dept,37.05539511,-76.39757696,44.0,30.0
116,Hampton Police Dept,37.05413831,-76.34325714,35.0,22.0
117,Hampton Police Dept,37.05469164,-76.36229523,3.0,14.0
118,Hampton Police Dept,37.04838481,-76.33548516,16.0,23.0
119,Hampton Police Dept,37.05354115,-76.3912153,57.0,33.0
120,Hampton Police Dept,37.041566700000004,-76.34141240000001,43.0,28.0
121,Hampton Police Dept,37.03152842,-76.3567502,43.0,43.0
122,Hampton Police Dept,37.04282164,-76.33350959,12.0,20.0
123,Hampton Police Dept,37.02831838,-76.38267339,8.0,29.0
124,Hampton Police Dept,37.04051585,-76.34181999,47.0,29.0
125,Hampton Police Dept,37.05351915,-76.34809659999999,42.0,22.0
126,Hampton Police Dept,37.02701253,-76.37443642,20.0,31.0
127,Hampton Police Dept,37.02784159,-76.36810021,44.0,34.0
128,Hampton Police Dept,37.06072266,-76.35198029,18.0,21.0
129,Hampton Police Dept,37.03738783,-76.34871398,52.0,44.0
130,Hampton Police Dept,37.025875799999994,-76.36236337,62.0,39.0
131,Hampton Police Dept,37.03767845,-76.38955533,36.0,35.0
132,Hampton Police Dept,37.04675758,-76.36463343,17.0,27.0
133,Hampton Police Dept,37.0566399,-76.39045373,43.0,31.0
134,Hampton Police Dept,37.06258328,-76.33579504,28.0,22.0
135,Hampton Police Dept,37.05116312,-76.33176351,31.0,22.0
136,Hampton Police Dept,37.05901863,-76.38183287,14.0,24.0
137,Hampton Police Dept,37.04778508,-76.39384151,70.0,34.0
138,Hampton Police Dept,37.02209423,-76.36704569,49.0,34.0
139,Hampton Police Dept,37.02058891,-76.3599323,58.0,36.0
140,Hampton Police Dept,37.04205847,-76.36243855,32.0,29.0
141,Hampton Police Dept,37.07048815,-76.37319357,3.0,19.0
142,Hampton Police Dept,37.05335679,-76.36133754,3.0,15.0
143,Hampton Police Dept,37.06611479,-76.35228091,9.0,22.0
144,Hampton Police Dept,37.07322315,-76.37110296,17.0,19.0
145,Hampton Police Dept,37.02515909,-76.36210771,62.0,38.0
146,Hampton Police Dept,37.04961696,-76.35142556,36.0,29.0
147,Hampton Police Dept,37.06572738,-76.39029043,30.0,25.0
148,Hampton Police Dept,37.03505267,-76.37154915,15.0,35.0
149,Hampton Police Dept,37.02968849,-76.37946531,5.0,28.0
